Axiom validation log 2026-03-07_0554

Session summary
- Uncredited experiment results seen in DB: 1727
- Sanitized files ready and reviewed: 1271
- Results still waiting on sanitized files: 456
- Credit awarded this session: 10000
- Credited results this session: 1271
- Credit distribution: 1103 results at 8 credit, 168 results at 7 credit
- Experiment mix reviewed: may_heterogeneity_reactivity_localization 735, trophic_coherence_reactivity_localization 257, may_ecosystem_stability_structure 244, muller_ratchet_fluctuating_metapop 35

Cleanup and failure review
- Stuck task cleanup query affected 0 rows
- No experiment script changes were made
- No active experiment was aborted: recent failures for trophic_coherence_reactivity_localization and may_ecosystem_stability_structure were outcome 5/6 rows without stderr tracebacks, so this pass did not show a reproducible script crash to justify aborting active work

Per-user totals after credit update
- user 1: +626 this session -> total_credit 23814.645579000007
- user 10: +513 this session -> total_credit 31451.48600000001
- user 22: +32 this session -> total_credit 2041.0
- user 40: +3824 this session -> total_credit 741206.4271749984
- user 56: +1296 this session -> total_credit 157102.62
- user 67: +160 this session -> total_credit 4650.936
- user 88: +2558 this session -> total_credit 9615.5
- user 90: +739 this session -> total_credit 70196.52100000001
- user 127: +252 this session -> total_credit 12354.199999999993

Results reviewed this session
- result 1803718 (host 1): exp_may_ecosystem_stability_structure_e06e3b_2 — elapsed 1824.578s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1803733 (host 1): exp_may_ecosystem_stability_structure_5653f1_2 — elapsed 1130.348s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1803787 (host 333): exp_may_ecosystem_stability_structure_1f0d86_2 — elapsed 915.391s, 131 numeric values, distinct 130, large_numeric_payload, 131_values -> 8 credit
- result 1803802 (host 340): exp_may_ecosystem_stability_structure_542c0f_2 — elapsed 902.500s, 138 numeric values, distinct 137, large_numeric_payload, 138_values -> 8 credit
- result 1803806 (host 222): exp_may_ecosystem_stability_structure_b9f225_2 — elapsed 919.084s, 26 numeric values, distinct 11, multi_measurement_payload, 26_values -> 7 credit
- result 1803807 (host 222): exp_may_ecosystem_stability_structure_042aa0_2 — elapsed 949.276s, 26 numeric values, distinct 11, outlier_median:51.9mad -> 7 credit
- result 1803809 (host 222): exp_may_ecosystem_stability_structure_ce6d27_2 — elapsed 942.474s, 26 numeric values, distinct 11, multi_measurement_payload, 26_values -> 7 credit
- result 1803810 (host 222): exp_may_ecosystem_stability_structure_dfacc9_2 — elapsed 905.475s, 26 numeric values, distinct 11, multi_measurement_payload, 26_values -> 7 credit
- result 1803811 (host 222): exp_may_ecosystem_stability_structure_a07f1d_2 — elapsed 969.065s, 26 numeric values, distinct 11, multi_measurement_payload, 26_values -> 7 credit
- result 1803814 (host 222): exp_may_ecosystem_stability_structure_880dc7_2 — elapsed 1002.038s, 26 numeric values, distinct 11, multi_measurement_payload, 26_values -> 7 credit
- result 1803815 (host 340): exp_may_ecosystem_stability_structure_196c5b_2 — elapsed 862.094s, 131 numeric values, distinct 130, large_numeric_payload, 131_values -> 8 credit
