Axiom validation log 2026-03-08_1835

Session overview
- Reviewed snapshot: 297 results
- Byte-weighted credits awarded: 137 results across 6117963 creditable bytes
- Denied sentinel (0.01): 160 results via stub filter (nbytes < 500 and elapsed_time < 60)
- Sanitized payload review: no matching sanitized JSON files existed yet for this live batch, so this cycle used trusted DB-side metadata only (result IDs, elapsed_time, DB-extracted nbytes, retired registry)
- Retired experiment matches in this batch: 0
- Stuck/broken tasks cleaned up: none in validation step
- Bugs fixed in experiment scripts: none

Credit totals
- Total credit added to results this session: 7545.29
- Byte-weighted pool subtotal: 7543.69
- Denied sentinel subtotal: 1.60
- Highest single result credit: 183.18
- Lowest credited non-sentinel result: 2.78

Per-user totals after rollup
- user 6: total_credit 49741.54
- user 23: total_credit 5515.66
- user 31: total_credit 10629.05
- user 34: total_credit 272.88
- user 43: total_credit 653.57
- user 44: total_credit 103893.44
- user 55: total_credit 1484.92
- user 83: total_credit 6447.26
- user 88: total_credit 19398.13
- user 90: total_credit 77913.28
- user 130: total_credit 1262.92
- user 136: total_credit 21182.40

Results reviewed this session
- result 1908007 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 842.022s, nbytes 16542, no retired match, sanitized payload pending)
- result 1908010 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.12 (elapsed 843.037s, nbytes 54436, no retired match, sanitized payload pending)
- result 1908012 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.06 (elapsed 842.784s, nbytes 54387, no retired match, sanitized payload pending)
- result 1908013 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.23 (elapsed 843.040s, nbytes 54522, no retired match, sanitized payload pending)
- result 1908027 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.75 (elapsed 842.054s, nbytes 20072, no retired match, sanitized payload pending)
- result 1908030 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.78 (elapsed 842.752s, nbytes 20095, no retired match, sanitized payload pending)
- result 1908035 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.05 (elapsed 841.976s, nbytes 54379, no retired match, sanitized payload pending)
- result 1908036 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.39 (elapsed 842.009s, nbytes 16535, no retired match, sanitized payload pending)
- result 1908041 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 841.878s, nbytes 16546, no retired match, sanitized payload pending)
- result 1908043 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.82 (elapsed 841.882s, nbytes 54192, no retired match, sanitized payload pending)
- result 1908045 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.39 (elapsed 842.720s, nbytes 16533, no retired match, sanitized payload pending)
- result 1908049 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.89 (elapsed 842.659s, nbytes 54247, no retired match, sanitized payload pending)
- result 1908054 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.20 (elapsed 841.876s, nbytes 54496, no retired match, sanitized payload pending)
- result 1908057 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.73 (elapsed 841.900s, nbytes 20057, no retired match, sanitized payload pending)
- result 1908060 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.41 (elapsed 842.686s, nbytes 16553, no retired match, sanitized payload pending)
- result 1908070 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 841.892s, nbytes 16548, no retired match, sanitized payload pending)
- result 1908071 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.90 (elapsed 842.739s, nbytes 54253, no retired match, sanitized payload pending)
- result 1908081 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.32 (elapsed 842.629s, nbytes 16478, no retired match, sanitized payload pending)
- result 1908084 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.48 (elapsed 841.885s, nbytes 53912, no retired match, sanitized payload pending)
- result 1908087 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.75 (elapsed 842.659s, nbytes 20071, no retired match, sanitized payload pending)
- result 1908091 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.76 (elapsed 842.673s, nbytes 20078, no retired match, sanitized payload pending)
- result 1908092 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.41 (elapsed 842.742s, nbytes 16549, no retired match, sanitized payload pending)
- result 1908095 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.77 (elapsed 842.680s, nbytes 54150, no retired match, sanitized payload pending)
