Axiom validation log 2026-03-08_2157

Session summary
- Results processed: 2972
- Batch 1 recovered from partial run: 2900 rows at mod_time 2026-03-08 21:53:53
- Batch 2 processed directly: 72 rows
- Denied sentinel (0.01): 540
- Denied empty_payload: 162
- Denied retired_experiment: 365
- Denied stub_filter: 13

Sampling and review notes
- Spot-checked 200 sanitized JSON files for payload quality and cross-host duplication
- No cross-host duplicate payloads were found in the sample
- Denied structural empty payloads when sanitized JSON lacked top-level experiment data
- Retired experiment families were denied per retired_experiments.txt

Results reviewed this session
- result 1924931 (host 347): exp_spiked_covariance_mask_correlation_gpu_gpu_f4690e_1 — nbytes=4096, elapsed=873.6s, payload=ok -> 1.00 credit
- result 1925563 (host 347): exp_contact_process_crossed_stripe_interaction_gpu_gpu_4f464f_0 — nbytes=53272, elapsed=870.1s, payload=ok -> 6.77 credit
- result 1926103 (host 353): exp_kellersegel_crossed_resource_sensitivity_gpu_gpu_d4d460_0 — nbytes=44599, elapsed=871.2s, payload=ok -> 5.67 credit
- result 1926111 (host 353): exp_kellersegel_crossed_resource_sensitivity_gpu_330680_0 — nbytes=44796, elapsed=865.3s, payload=ok -> 5.69 credit
- result 1926142 (host 353): exp_kellersegel_crossed_resource_sensitivity_gpu_gpu_6625ec_0 — nbytes=44792, elapsed=865.3s, payload=ok -> 5.69 credit
- result 1926223 (host 353): exp_kellersegel_crossed_resource_sensitivity_gpu_gpu_38f82b_0 — nbytes=44670, elapsed=857.2s, payload=ok -> 5.68 credit
- result 1926226 (host 353): exp_contact_process_crossed_stripe_interaction_gpu_gpu_85b178_0 — nbytes=51198, elapsed=860.2s, payload=ok -> 6.50 credit
- result 1926272 (host 353): exp_cahnhilliard_crossed_mobility_bias_gpu_gpu_da761f_0 — nbytes=182, elapsed=27.1s, deny=stub_filter -> 0.01 sentinel
- result 1926705 (host 347): exp_cahnhilliard_crossed_mobility_bias_gpu_gpu_31e43f_0 — nbytes=3616, elapsed=867.1s, payload=ok -> 1.00 credit
- result 1927209 (host 1): exp_kellersegel_crossed_resource_sensitivity_gpu_gpu_b23224_0 — nbytes=46081, elapsed=957.0s, payload=ok -> 5.85 credit
- result 1927241 (host 1): exp_kellersegel_crossed_resource_sensitivity_gpu_gpu_8fbcc8_0 — nbytes=46492, elapsed=939.4s, payload=ok -> 5.91 credit
