Axiom validation log
Session start: 2026-03-19 11:07 UTC
Session type: Step 3 validation and credit

Price-per-FLOP scales:
- CPU_SCALE=5.0196363564419115e-12
- GPU_SCALE=2.7139486065207747e-14
- price_table_last_updated_unix=1773915316

Results credited this session:
- total_results_credited=457895
- total_result_credit_awarded=1294959.37
- sentinel_0_01_results=436457
- formula_results_gt_0_01=21438

Per-host credit summary:
- hostid=437 results_credited=81 result_credit_awarded=183687.55
- hostid=367 results_credited=1767 result_credit_awarded=176056.02
- hostid=485 results_credited=78 result_credit_awarded=143951.02
- hostid=18 results_credited=56 result_credit_awarded=89136.40
- hostid=22 results_credited=53 result_credit_awarded=88608.12
- hostid=486 results_credited=39 result_credit_awarded=60743.06
- hostid=20 results_credited=53 result_credit_awarded=54761.45
- hostid=17 results_credited=45 result_credit_awarded=53881.25
- hostid=19 results_credited=53 result_credit_awarded=36066.40
- hostid=508 results_credited=2566 result_credit_awarded=24897.53
- hostid=507 results_credited=2563 result_credit_awarded=24529.84
- hostid=240 results_credited=455 result_credit_awarded=24076.69
- hostid=268 results_credited=447 result_credit_awarded=21767.10
- hostid=105 results_credited=663 result_credit_awarded=21206.83
- hostid=23 results_credited=48 result_credit_awarded=16330.04
- hostid=16 results_credited=50 result_credit_awarded=15523.19
- hostid=339 results_credited=605 result_credit_awarded=13759.49
- hostid=388 results_credited=304 result_credit_awarded=12764.47
- hostid=340 results_credited=633 result_credit_awarded=12660.35
- hostid=497 results_credited=420 result_credit_awarded=11435.55
- hostid=395 results_credited=580 result_credit_awarded=11033.63
- hostid=111 results_credited=446 result_credit_awarded=10594.43
- hostid=332 results_credited=367 result_credit_awarded=10129.10
- hostid=330 results_credited=379 result_credit_awarded=9923.71
- hostid=338 results_credited=548 result_credit_awarded=9781.35
- hostid=324 results_credited=543 result_credit_awarded=9683.96
- hostid=327 results_credited=573 result_credit_awarded=9563.08
- hostid=398 results_credited=323 result_credit_awarded=8701.43
- hostid=269 results_credited=662 result_credit_awarded=8067.20
- hostid=322 results_credited=5 result_credit_awarded=7117.45
- hostid=376 results_credited=675 result_credit_awarded=6621.75
- hostid=399 results_credited=530 result_credit_awarded=6477.19
- hostid=400 results_credited=547 result_credit_awarded=6439.66
- hostid=390 results_credited=327 result_credit_awarded=6236.87
- hostid=210 results_credited=535 result_credit_awarded=5980.91
- hostid=147 results_credited=10 result_credit_awarded=5044.57
- hostid=0 results_credited=433558 result_credit_awarded=4335.58
